event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,2023-05-27 04:32:30,7,,,true,6,59139,2023-05-27 04:25:00,false,MANUAL,MG7,,54,false,494M13C926,false,EARLY,55460180,54,59139,false,,,DEPARTURE,59135,
ARRIVAL,2023-05-27 04:27:00,,2023-05-27 04:26:30,0,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,, 1,21,false,501K01M427,false,ON TIME,21943001,21,50327,true,UP,UP,ARRIVAL,50251,
DEPARTURE,,,2023-05-27 04:35:00,10,,,true,14,50334,2023-05-27 04:25:00,false,AUTOMATIC,MLH, 4,09,false,424L82C926,false,EARLY,54606070,09,50334,true,DOWN,DOWN,DEPARTURE,50328,E
DEPARTURE,,,2023-05-27 04:26:00,1,,,false,6,00000,2023-05-27 04:25:00,false,AUTOMATIC,,,88,false,459J01M427,false,EARLY,22727100,88,45173,true,UP,UP,DEPARTURE,45201,F
ARRIVAL,2023-05-27 04:28:00,,2023-05-27 04:28:00,1,,,true,10,32000,2023-05-27 04:27:00,false,AUTOMATIC,, 3,20,false,161P06M227,false,EARLY,21734000,20,32000,true,DOWN,DOWN,ARRIVAL,32009,
DEPARTURE,,,2023-05-27 04:25:30,1,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,532D01M427,false,LATE,21724000,88,53227,true,UP,UP,DEPARTURE,53234,H
DEPARTURE,,,2023-05-27 04:31:30,6,,,false,2,00000,2023-05-27 04:25:00,false,AUTOMATIC,, 2,45,false,545S91M327,false,EARLY,21498200,45,53309,true,DOWN,DOWN,DEPARTURE,53310,H
ARRIVAL,2023-05-27 04:33:00,,2023-05-27 04:33:30,7,,,false,41,00000,2023-05-27 04:26:00,false,AUTOMATIC,, 2,45,false,545S91M327,false,EARLY,21498200,45,53310,true,DOWN,DOWN,ARRIVAL,53309,
DEPARTURE,,,2023-05-27 04:25:00,0,,,true,5,32529,2023-05-27 04:25:00,false,AUTOMATIC,, 1,20,false,321P07M427,false,ON TIME,21734000,20,32529,true,DOWN,DOWN,DEPARTURE,32515,
DEPARTURE,,,2023-05-27 04:11:00,15,,,false,6,00000,2023-05-27 04:26:00,false,AUTOMATIC,MI9,,42,false,573Q81C926,false,LATE,52495112,42,43222,true,UP,UP,DEPARTURE,43308,
ARRIVAL,,,2023-05-27 04:16:00,11,,,true,1,43314,2023-05-27 04:27:00,false,AUTOMATIC,MGE,,54,false,334O461227,false,LATE,55460180,54,43314,true,,,ARRIVAL,43322,
DEPARTURE,2023-05-27 04:24:00,,2023-05-27 04:24:00,1,,,false,4,00000,2023-05-27 04:25:00,false,AUTOMATIC,, 4,88,false,542R98M427,false,LATE,21788001,88,54011,true,DOWN,DOWN,DEPARTURE,54001,S
DEPARTURE,2023-05-27 04:25:00,,2023-05-27 04:25:30,0,,,true,2,52074,2023-05-27 04:25:00,false,AUTOMATIC,, 1,30,false,879I28M427,false,ON TIME,22218000,30,52074,true,UP,UP,DEPARTURE,87660,U
DEPARTURE,,,2023-05-27 04:35:30,10,,527V53C327,true,2,73255,2023-05-27 04:25:00,false,AUTOMATIC,MMG, 3,09,false,526V53C327,false,EARLY,57622972,09,73255,true,DOWN,DOWN,DEPARTURE,73665,D
ARRIVAL,,,2023-05-27 03:45:30,42,,,true,1,71040,2023-05-27 04:27:00,false,AUTOMATIC,MGC,,54,false,514M68C227,false,LATE,55460180,54,71040,true,,,ARRIVAL,71009,
DEPARTURE,2023-05-27 04:30:00,,2023-05-27 04:30:00,4,,,true,5,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,23,false,295N80M427,false,EARLY,12974820,23,29154,true,DOWN,DOWN,DEPARTURE,29155,
DEPARTURE,,,,0,,,false,,,2023-05-27 04:25:00,false,AUTOMATIC,MMQ,,54,false,516X41C027,true,OFF ROUTE,51464880,54,43331,,,,DEPARTURE,,
DEPARTURE,,,2023-05-27 03:56:30,30,,,false,15,00000,2023-05-27 04:26:00,false,AUTOMATIC,MMQ,,54,false,516X41C027,false,LATE,51464880,54,43333,true,DOWN,DOWN,DEPARTURE,43328,S
ARRIVAL,,,2023-05-27 04:26:30,1,,,true,1,87903,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,879W14M427,false,LATE,22729000,88,87903,true,,,ARRIVAL,87722,
DEPARTURE,,,2023-05-27 04:21:00,4,,,true,4,81103,2023-05-27 04:25:00,false,AUTOMATIC,,,25,false,813G111427,false,LATE,25390003,25,81103,true,UP,UP,DEPARTURE,68151,1
ARRIVAL,,,2023-05-27 04:22:00,5,,,true,1,15883,2023-05-27 04:27:00,false,AUTOMATIC,M94,,35,false,011M16MZ26,false,LATE,23558003,35,15883,true,,,ARRIVAL,16001,
DEPARTURE,2023-05-27 04:26:00,,2023-05-27 04:26:00,0,,,true,1,12931,2023-05-27 04:26:00,false,AUTOMATIC,, 8,20,false,129M05M427,false,ON TIME,21731000,20,12931,true,UP,UP,DEPARTURE,12932,M
DEPARTURE,,,2023-05-27 04:30:00,4,,,true,,86333,2023-05-27 04:26:00,false,AUTOMATIC,,,84,false,865P00M427,false,EARLY,24676004,84,86333,true,UP,UP,DEPARTURE,86334,H
DEPARTURE,,,2023-05-27 04:26:30,1,,,false,4,00000,2023-05-27 04:25:00,false,AUTOMATIC,,,28,false,575C08M427,false,EARLY,22150007,28,56585,true,DOWN,DOWN,DEPARTURE,56550,F
ARRIVAL,,,,0,,,false,,,2023-05-27 04:26:00,false,AUTOMATIC,ML1,,50,false,735Z391427,true,OFF ROUTE,22244008,50,73253,,,,ARRIVAL,,
ARRIVAL,2023-05-27 04:28:00,,2023-05-27 04:27:30,0,,,false,1,00000,2023-05-27 04:27:00,false,AUTOMATIC,, 3,88,false,629T01M427,false,ON TIME,22720000,88,62203,true,UP,UP,ARRIVAL,62206,
DEPARTURE,,,2023-05-27 05:00:30,34,,,true,8,71040,2023-05-27 04:26:00,false,AUTOMATIC,MEJ,,54,false,366L471826,false,EARLY,51464880,54,71040,true,UP,UP,DEPARTURE,72007,S
ARRIVAL,2023-05-27 05:02:00,,2023-05-27 05:02:30,35,,,true,118,81118,2023-05-27 04:27:00,false,AUTOMATIC,MAS,,09,false,494V36C826,false,EARLY,54606070,09,81118,true,DOWN,DOWN,ARRIVAL,76091,
DEPARTURE,2023-05-27 04:53:00,,2023-05-27 04:53:00,27,,,false,3,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,875S00M427,false,EARLY,22788002,88,87976,true,DOWN,DOWN,DEPARTURE,87980,
ARRIVAL,2023-05-27 04:56:00,,2023-05-27 04:56:00,28,,,true,,87980,2023-05-27 04:28:00,false,AUTOMATIC,, 4,88,true,875S00M427,false,EARLY,22788002,88,87980,true,DOWN,DOWN,DESTINATION,,
DEPARTURE,,,2023-05-27 06:18:30,112,,,true,2,66433,2023-05-27 04:26:00,false,AUTOMATIC,MCY, 2,42,false,744Q031926,false,EARLY,53693803,42,66433,true,DOWN,DOWN,DEPARTURE,66463,D
DEPARTURE,,,2023-05-27 04:27:00,1,,,false,3,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,629W13M327,false,EARLY,22720000,88,63624,true,UP,UP,DEPARTURE,63629,M
ARRIVAL,2023-05-27 04:32:00,,2023-05-27 04:32:00,4,,,true,14,23421,2023-05-27 04:28:00,false,AUTOMATIC,, 1,61,false,233B81M427,false,EARLY,21704001,61,23421,true,DOWN,DOWN,ARRIVAL,23452,
ARRIVAL,2023-05-27 04:27:00,,2023-05-27 04:26:30,0,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,, 1,30,false,879I30M427,false,ON TIME,22218000,30,52090,true,UP,UP,ARRIVAL,52088,
DEPARTURE,2023-05-27 04:26:00,,2023-05-27 04:26:00,0,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,, 2,30,false,529I31M427,false,ON TIME,22215003,30,52088,true,DOWN,DOWN,DEPARTURE,52090,
DEPARTURE,,,2023-05-27 04:46:00,20,,,true,4,84135,2023-05-27 04:26:00,false,AUTOMATIC,,,25,false,845C40M427,false,EARLY,25474001,25,84135,true,DOWN,DOWN,DEPARTURE,84139,D
DEPARTURE,2023-05-27 04:13:00,,2023-05-27 04:13:00,13,,,true,2,74237,2023-05-27 04:26:00,false,AUTOMATIC,, 7,25,false,742P03M427,false,LATE,25506005,25,74237,true,UP,UP,DEPARTURE,74233,
DEPARTURE,,,,0,,,false,,,2023-05-27 04:26:00,false,AUTOMATIC,ML1,,50,false,735Z391427,true,OFF ROUTE,22244008,50,73253,,,,DEPARTURE,,
DEPARTURE,2023-05-27 04:25:00,,2023-05-27 04:25:00,0,,,true,6,40001,2023-05-27 04:25:00,false,MANUAL,,,71,false,401V91M427,false,ON TIME,22340000,71,40001,false,,,DEPARTURE,40012,
DEPARTURE,,,2023-05-27 04:26:00,0,,,true,6,51948,2023-05-27 04:26:00,false,AUTOMATIC,,,21,false,521B00M427,false,ON TIME,21911000,21,51948,true,DOWN,DOWN,DEPARTURE,51815,S
DEPARTURE,,,2023-05-27 04:27:00,1,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,79,false,512B01M427,false,EARLY,21936004,79,50499,true,UP,UP,DEPARTURE,51004,U
ARRIVAL,,,2023-05-27 04:22:30,5,,,true,1,87611,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,879W12M327,false,LATE,22729000,88,87611,true,,,ARRIVAL,87249,
ARRIVAL,,,2023-05-27 04:29:00,2,,,true,2,87801,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,875F96M427,false,EARLY,24788005,88,87801,true,,,ARRIVAL,87901,
DEPARTURE,,,2023-05-27 04:24:00,3,,,true,1,16503,2023-05-27 04:27:00,false,AUTOMATIC,MAB,,05,false,776E55C826,false,LATE,59430947,05,16503,true,DOWN,DOWN,DEPARTURE,16506,N
ARRIVAL,2023-05-27 04:26:00,,2023-05-27 04:25:30,2,,,true,1,35325,2023-05-27 04:27:00,false,AUTOMATIC,, 4,71,false,401H77M327,false,LATE,22345000,71,35325,true,DOWN,DOWN,ARRIVAL,35321,
DEPARTURE,,,2023-05-27 04:17:30,9,,,true,5,56550,2023-05-27 04:26:00,false,AUTOMATIC,,,28,false,555M06M427,false,LATE,22270000,28,56550,true,DOWN,DOWN,DEPARTURE,56524,F
DEPARTURE,,,2023-05-27 04:26:30,0,,,true,1,87903,2023-05-27 04:26:00,false,AUTOMATIC,, 1,88,false,879W14M427,false,ON TIME,22729000,88,87903,true,UP,UP,DEPARTURE,87722,M
DEPARTURE,2023-05-27 02:56:00,,2023-05-27 02:56:00,87,,,true,1,88730,2023-05-27 04:23:00,false,MANUAL,MIR,,54,false,886G111227,false,LATE,54761100,54,88730,false,,,DEPARTURE,88740,
DEPARTURE,,,2023-05-27 04:26:30,0,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,532D01M427,false,ON TIME,21724000,88,53234,true,UP,UP,DEPARTURE,53247,H
ARRIVAL,,,2023-05-27 04:32:00,5,,,true,5,62201,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,625V13M427,false,EARLY,22788002,88,62201,true,,,ARRIVAL,62203,
DEPARTURE,,,2023-05-27 04:28:30,2,,,false,6,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,629W15M327,false,EARLY,22720000,88,63209,true,UP,UP,DEPARTURE,63216,F
DEPARTURE,,,2023-05-27 04:26:30,0,,,false,1,00000,2023-05-27 04:26:00,false,AUTOMATIC,,,88,false,872L001427,false,ON TIME,24749000,88,87199,true,DOWN,DOWN,DEPARTURE,87203,S
ARRIVAL,2023-05-27 05:06:00,,2023-05-27 05:06:00,39,,,true,43,36080,2023-05-27 04:27:00,false,AUTOMATIC,, 2,64,false,385T771427,false,EARLY,12301012,64,36080,true,UP,UP,ARRIVAL,36078,
ARRIVAL,,,2023-05-27 04:20:30,7,,,true,1,87722,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,629W09M227,false,LATE,22720000,88,87722,true,,,ARRIVAL,87903,
ARRIVAL,,,2023-05-27 05:02:30,35,,,true,35,32581,2023-05-27 04:27:00,false,AUTOMATIC,MGS,,05,false,864M781726,false,EARLY,52407529,05,32581,true,,,ARRIVAL,32568,
ARRIVAL,2023-05-27 04:28:00,,2023-05-27 04:28:00,1,,,false,1,00000,2023-05-27 04:27:00,false,AUTOMATIC,, 3,88,false,629V11M427,false,EARLY,22728000,88,62422,true,UP,UP,ARRIVAL,62423,
DEPARTURE,,,2023-05-27 03:45:30,41,,,true,10,71040,2023-05-27 04:26:00,false,AUTOMATIC,MGC,,54,false,514M68C227,false,LATE,55460180,54,71040,true,DOWN,DOWN,DEPARTURE,71009,S
DEPARTURE,,,2023-05-27 04:30:30,3,,,false,4,00000,2023-05-27 04:27:00,false,AUTOMATIC,,,84,false,865P00M427,false,EARLY,24676004,84,86334,true,UP,UP,DEPARTURE,86341,H
DEPARTURE,,,2023-05-27 05:02:30,35,,420C02C427,true,5,35591,2023-05-27 04:27:00,false,AUTOMATIC,MU2,,97,false,426C02C427,false,EARLY,95998090,97,35591,true,DOWN,DOWN,DEPARTURE,35555,M
ARRIVAL,2023-05-27 04:30:00,,2023-05-27 04:30:00,2,,,true,,32530,2023-05-27 04:28:00,false,AUTOMATIC,, 1,23,true,325N50M427,false,EARLY,12974820,23,32530,true,UP,UP,DESTINATION,,
DEPARTURE,,,2023-05-27 04:22:00,4,,,true,6,15883,2023-05-27 04:26:00,false,AUTOMATIC,M94, 1,35,false,011M16MZ26,false,LATE,23558003,35,15883,true,UP,UP,DEPARTURE,16001,F
ARRIVAL,2023-05-27 04:28:00,,2023-05-27 04:27:30,0,,,false,1,00000,2023-05-27 04:27:00,false,AUTOMATIC,, 2,30,false,529I31M427,false,ON TIME,22215003,30,52090,true,DOWN,DOWN,ARRIVAL,87566,
ARRIVAL,,,2023-05-27 04:42:30,15,,,true,15,49302,2023-05-27 04:27:00,false,AUTOMATIC,MKS,,09,false,494M45C227,false,EARLY,54606070,09,49302,true,,,ARRIVAL,50049,
DEPARTURE,,,2023-05-27 04:33:00,5,,,false,1,00000,2023-05-27 04:28:00,false,AUTOMATIC,,,23,false,313D32M427,false,EARLY,12229820,23,31304,true,UP,UP,DEPARTURE,31339,M
DEPARTURE,2023-05-27 04:31:00,,2023-05-27 04:31:00,5,,,true,2,31300,2023-05-27 04:26:00,false,AUTOMATIC,,,23,false,313D32M427,false,EARLY,12229820,23,31300,true,UP,UP,DEPARTURE,31304,
