event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-05-27 04:29:00,,2023-05-27 04:29:00,2,,,true,15,87639,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,875B99M427,false,EARLY,24788005,88,87639,true,UP,UP,DEPARTURE,87637,S
ARRIVAL,,,2023-05-27 04:45:00,17,,,false,17,00000,2023-05-27 04:28:00,false,AUTOMATIC,MN4,,09,false,174L83C027,false,EARLY,54606070,09,44017,true,,,ARRIVAL,44025,
ARRIVAL,2023-05-27 04:29:00,,2023-05-27 04:28:30,0,,,true,1,51016,2023-05-27 04:28:00,false,AUTOMATIC,, 4,79,false,512D01M427,false,ON TIME,24936004,79,51016,true,UP,UP,ARRIVAL,51023,
ARRIVAL,,,2023-05-27 06:32:30,124,,,false,124,00000,2023-05-27 04:28:00,false,AUTOMATIC,MM1,,54,false,663Q981926,false,EARLY,54761000,54,65707,true,,,ARRIVAL,65667,
DEPARTURE,2023-05-27 04:22:00,,2023-05-27 04:22:30,5,,,true,6,16416,2023-05-27 04:27:00,false,AUTOMATIC,, 9,20,false,165P60M427,false,LATE,21734000,20,16416,true,DOWN,DOWN,DEPARTURE,16421,F
ARRIVAL,,,2023-05-27 04:39:30,11,,,true,11,53223,2023-05-27 04:28:00,false,AUTOMATIC,,,88,false,535P041427,false,EARLY,22788002,88,53223,true,,,ARRIVAL,53231,
DEPARTURE,2023-05-27 04:27:00,,2023-05-27 04:27:00,0,,,false,,00000,2023-05-27 04:27:00,false,AUTOMATIC,, 2,30,false,529I33M427,false,ON TIME,22215003,30,52049,true,DOWN,DOWN,DEPARTURE,87660,
DEPARTURE,2023-05-27 04:27:00,,2023-05-27 04:27:00,0,,,false,1,00000,2023-05-27 04:27:00,false,AUTOMATIC,, 1,30,false,879I30M427,false,ON TIME,22218000,30,52090,true,UP,UP,DEPARTURE,52088,
DEPARTURE,,,2023-05-27 04:27:30,0,,,true,6,87722,2023-05-27 04:27:00,false,AUTOMATIC,,U,88,false,879W14M427,false,ON TIME,22729000,88,87722,true,UP,UP,DEPARTURE,87901,
DEPARTURE,,,2023-05-27 04:15:00,13,,,false,3,00000,2023-05-27 04:28:00,false,AUTOMATIC,,,25,false,742P03M427,false,LATE,25506005,25,74233,true,UP,UP,DEPARTURE,74024,
ARRIVAL,,,2023-05-27 04:15:00,15,,,true,1,74023,2023-05-27 04:30:00,false,AUTOMATIC,,,86,false,745T24M427,false,LATE,25905000,86,74023,true,,,ARRIVAL,74005,
